visitor_id,Last_Purchase_Date,Recency,Frequency,Monetary
995225,01:56.0,46,4,4
83600,15:23.0,4,4,4
1375602,08:58.0,67,4,4
566009,52:29.0,53,4,4
424472,15:26.0,57,4,4
1225435,19:53.0,71,4,4
586427,01:35.0,26,4,4
210644,10:56.0,63,4,4
1187986,16:30.0,27,4,4
573466,55:41.0,129,4,4
1265730,42:44.0,51,4,4
969827,57:21.0,84,4,4
11209,29:45.0,37,4,4
376721,53:23.0,22,4,4
760430,17:26.0,13,4,4
6958,18:58.0,70,4,4
54535,06:04.0,137,4,4
121299,33:59.0,66,4,4
239564,59:22.0,82,4,4
467899,40:23.0,77,4,4
1115446,42:02.0,49,4,4
1008851,49:11.0,115,4,4
805780,38:51.0,64,4,4
1350190,12:07.0,61,4,4
1376659,08:01.0,125,4,4
497935,06:08.0,129,4,4
1336181,21:16.0,7,4,4
903507,28:51.0,104,4,4
1053783,26:54.0,60,4,4
535410,10:34.0,87,4,4
1313980,05:24.0,69,4,4
625795,33:24.0,106,4,4
331366,41:28.0,56,4,4
1156525,09:23.0,16,4,4
321061,06:41.0,88,4,4
967483,03:50.0,105,4,4
524115,00:02.0,118,4,4
972040,40:33.0,136,4,4
35623,05:34.0,45,4,4
749201,11:29.0,107,4,4
890105,39:40.0,29,4,4
553624,46:20.0,22,4,4
272883,58:50.0,51,4,4
407882,51:28.0,63,4,4
1032432,56:58.0,50,4,4
1256293,33:51.0,37,4,4
273341,16:29.0,94,4,4
672218,13:26.0,57,4,4
1317721,44:58.0,106,4,4
1289569,01:50.0,38,3,3
677299,22:49.0,74,3,3
1333273,22:32.0,49,3,3
769676,56:20.0,100,3,3
748697,01:03.0,2,3,3
1152738,00:09.0,40,3,3
672785,59:21.0,67,3,3
793091,24:22.0,42,3,3
102507,49:29.0,67,3,3
859454,08:47.0,108,3,3
1193588,47:43.0,111,3,3
860075,44:55.0,76,3,3
458788,34:25.0,53,3,3
309763,46:36.0,69,3,3
243025,29:13.0,85,3,3
748342,37:53.0,100,3,3
388612,11:54.0,119,3,3
655092,55:33.0,120,3,3
1023195,09:26.0,3,3,3
723619,17:37.0,125,3,3
925004,35:29.0,120,3,3
962631,01:30.0,70,3,3
1032349,46:09.0,48,3,3
185790,49:00.0,86,3,3
724618,59:09.0,7,3,3
1385109,28:01.0,110,3,3
1227634,19:13.0,134,3,3
1207222,45:31.0,54,3,3
470959,01:56.0,16,3,3
153118,25:50.0,2,3,3
1000656,48:16.0,116,3,3
919302,17:16.0,111,3,3
1301468,46:42.0,15,3,3
494059,08:56.0,121,3,3
1150405,11:06.0,47,3,3
1323154,54:24.0,31,3,3
689115,16:04.0,80,3,3
12148,48:03.0,108,3,3
158720,14:27.0,55,3,3
1316061,43:03.0,78,3,3
1175440,51:04.0,127,3,3
617700,17:09.0,11,3,3
149978,19:26.0,101,3,3
1253728,41:23.0,94,3,3
1110929,58:52.0,56,3,3
665308,52:50.0,84,3,3
483471,43:34.0,115,3,3
826275,03:25.0,30,3,3
417594,15:34.0,128,3,3
1247894,49:40.0,123,3,3
354766,40:23.0,80,3,3
334686,42:01.0,42,3,3
1223878,23:07.0,88,3,3
1137704,15:07.0,107,3,3
154217,57:32.0,87,3,3
1229729,45:13.0,94,3,3
182143,49:23.0,135,3,3
732352,00:46.0,98,3,3
301496,58:27.0,65,3,3
786017,19:47.0,53,3,3
1283849,38:39.0,8,3,3
1064422,11:04.0,19,3,3
719153,02:40.0,73,3,3
961411,11:46.0,107,3,3
393237,28:56.0,119,3,3
617101,39:34.0,113,3,3
1319584,07:46.0,51,3,3
476523,03:25.0,72,3,3
746939,21:12.0,105,3,3
250146,32:01.0,44,3,3
792741,21:17.0,99,3,3
978909,41:02.0,91,3,3
1391065,35:25.0,135,3,3
211706,57:24.0,59,3,3
1045152,02:48.0,138,3,3
516732,18:18.0,24,3,3
988009,14:01.0,62,3,3
1001365,56:20.0,82,3,3
73856,24:30.0,103,3,3
485368,59:19.0,58,3,3
1062192,27:50.0,64,3,3
1031046,37:13.0,66,3,3
1169620,04:25.0,56,3,3
1404991,58:11.0,88,3,3
1014189,47:59.0,94,3,3
250372,29:26.0,99,3,3
649003,28:18.0,31,3,3
1318167,38:23.0,18,3,3
903847,08:19.0,93,3,3
1118325,45:19.0,23,3,3
334471,44:05.0,63,3,3
401979,37:30.0,19,3,3
957312,15:08.0,93,3,3
9145,43:49.0,8,3,3
1043555,54:22.0,137,3,3
759288,31:51.0,107,3,3
1301173,21:28.0,66,3,3
1368970,37:24.0,44,3,3
469410,36:36.0,114,3,3
944168,42:40.0,69,3,3
534073,09:49.0,7,3,3
396761,44:18.0,102,3,3
1084952,22:17.0,16,3,3
886166,43:19.0,109,3,3
952904,55:33.0,16,3,3
995838,05:05.0,65,3,3
278771,39:25.0,69,3,3
993282,07:53.0,44,3,3
706387,54:34.0,85,3,3
63274,25:29.0,72,3,3
1054607,26:12.0,31,3,3
565978,04:54.0,18,3,3
990216,10:55.0,80,3,3
570529,45:09.0,31,3,3
390023,48:40.0,78,3,3
1277987,16:14.0,113,3,3
224928,46:36.0,93,3,3
789793,16:05.0,111,3,3
1313473,25:40.0,32,3,3
1346082,45:55.0,116,3,3
427504,00:24.0,16,3,3
1048533,06:03.0,120,3,3
485689,04:28.0,52,3,3
928951,41:03.0,58,3,3
1345272,55:46.0,46,3,3
820155,02:14.0,85,3,3
808207,41:47.0,115,3,3
230215,06:44.0,3,3,3
143059,51:42.0,76,3,3
282289,08:34.0,84,3,3
1328985,25:53.0,66,3,3
154970,14:42.0,88,3,3
788113,30:57.0,123,3,3
941761,18:40.0,134,3,3
383786,00:09.0,7,3,3
1378697,50:45.0,11,3,3
961717,28:29.0,123,3,3
588708,59:47.0,38,3,3
982670,43:28.0,77,3,3
522568,34:49.0,29,3,3
3926,40:40.0,93,3,3
703309,53:35.0,68,3,3
896012,02:01.0,21,3,3
873353,15:10.0,72,3,3
515890,56:37.0,65,3,3
991246,27:13.0,67,3,3
1287670,38:00.0,93,3,3
221249,37:38.0,118,3,3
1197809,55:05.0,66,3,3
695025,21:35.0,92,3,3
952388,23:38.0,92,3,3
552123,08:06.0,25,3,3
1077320,49:09.0,91,3,3
1158127,57:10.0,114,3,3
1073653,19:08.0,114,3,3
13833,24:28.0,26,3,3
941359,12:19.0,94,3,3
1382778,12:24.0,43,3,3
767448,33:50.0,78,3,3
1327109,43:14.0,3,3,3
1281052,19:29.0,52,3,3
179314,16:57.0,77,3,3
302769,22:14.0,117,3,3
1365340,33:31.0,66,3,3
1125532,41:53.0,128,3,3
391814,35:35.0,72,3,3
131371,13:15.0,34,3,3
456617,58:50.0,102,3,3
1127962,12:49.0,2,3,3
740575,31:25.0,12,3,3
291482,38:11.0,89,3,3
75630,11:30.0,9,3,3
296577,00:41.0,128,3,3
1281043,09:22.0,10,3,3
1263731,11:36.0,3,3,3
902186,53:51.0,59,3,3
446206,19:10.0,114,3,3
617793,59:00.0,92,3,3
800489,55:39.0,50,3,3
808813,50:24.0,71,3,3
854134,44:17.0,22,3,3
11248,21:33.0,115,3,3
118129,10:16.0,81,3,3
818734,44:58.0,45,3,3
60711,49:52.0,10,3,3
888741,24:50.0,108,3,3
894034,33:22.0,131,3,3
946268,19:27.0,134,3,3
203490,05:23.0,66,3,3
555251,02:59.0,38,3,3
179772,19:49.0,85,3,3
21610,11:30.0,119,3,3
580000,33:15.0,30,3,3
813035,25:15.0,59,3,3
831120,17:06.0,53,3,3
1279171,46:57.0,55,3,3
100809,05:15.0,63,3,3
262357,29:50.0,34,3,3
24722,15:46.0,85,3,3
1402220,13:08.0,127,3,3
498856,40:32.0,28,3,3
946363,19:31.0,41,3,3
1387650,01:14.0,103,3,3
410841,42:42.0,99,3,3
6952,21:06.0,9,3,3
464435,22:38.0,75,3,3
488322,39:07.0,58,3,3
490761,40:16.0,100,3,3
138021,19:53.0,29,3,3
1010711,19:45.0,89,3,3
346127,05:02.0,39,3,3
938411,29:47.0,42,3,3
947843,01:42.0,135,3,3
646421,29:17.0,106,3,3
394989,49:18.0,65,3,3
1400296,31:05.0,124,3,3
327031,15:30.0,27,3,3
754358,34:47.0,131,3,3
3465,37:44.0,94,3,3
1306382,05:26.0,34,3,3
13455,57:22.0,82,3,3
355146,36:38.0,130,3,3
755815,34:36.0,1,3,3
410452,58:51.0,63,3,3
317906,43:10.0,55,3,3
705439,21:11.0,55,3,3
711410,27:04.0,115,3,3
354554,51:50.0,96,3,3
145274,10:51.0,111,3,3
429418,51:20.0,138,3,3
113137,56:40.0,40,3,3
126834,47:58.0,77,3,3
1304026,26:00.0,67,3,3
948335,13:11.0,136,3,3
629346,41:21.0,52,3,3
1295811,41:05.0,30,3,3
1058213,36:41.0,130,3,3
1353976,22:35.0,64,3,3
79721,00:31.0,52,3,3
1022003,22:25.0,77,3,3
727717,16:34.0,116,3,3
1346296,43:22.0,117,3,3
738746,18:44.0,37,3,3
1371288,45:11.0,51,3,3
947585,06:40.0,50,3,3
902756,37:19.0,37,3,3
685118,27:20.0,14,3,3
287930,06:15.0,134,3,3
934767,36:03.0,94,3,3
527815,37:21.0,131,3,3
1164596,09:13.0,88,3,3
1265599,08:38.0,29,3,3
1372317,08:25.0,101,3,3
169589,48:17.0,94,3,3
968880,57:42.0,28,3,3
36502,42:18.0,85,3,3
1220633,40:22.0,23,3,3
33196,20:40.0,106,3,3
1262190,40:56.0,67,3,3
879818,23:48.0,18,3,3
506308,09:36.0,110,3,3
1205233,06:38.0,74,3,3
1009613,56:01.0,81,3,3
618705,08:23.0,128,3,3
427622,59:34.0,7,3,3
1088880,36:15.0,21,3,3
542498,44:53.0,88,3,3
999869,01:28.0,74,3,3
1255801,43:54.0,5,3,3
1082305,40:11.0,23,3,3
1136594,36:35.0,4,3,3
1036016,37:15.0,59,3,3
1053437,31:05.0,123,3,3
1126793,57:54.0,31,3,3
855713,21:57.0,38,3,3
782961,31:46.0,96,3,3
911093,18:38.0,108,3,3
365962,42:22.0,9,3,3
870323,29:27.0,129,3,3
392826,57:07.0,81,3,3
167511,36:37.0,73,3,3
132277,57:44.0,50,3,3
161617,58:25.0,88,3,3
1010111,52:10.0,22,3,3
292102,59:31.0,70,3,3
1121652,58:02.0,19,3,3
804418,59:05.0,72,3,3
984077,07:33.0,126,3,3
209964,38:31.0,126,3,3
154919,22:49.0,59,3,3
1214988,53:32.0,49,3,3
203051,32:25.0,123,3,3
308421,43:45.0,46,3,3
587802,21:31.0,93,3,3
958255,45:40.0,114,3,3
578528,37:46.0,42,3,3
1113443,07:05.0,21,3,3
1102743,48:33.0,59,3,3
1181406,26:22.0,32,3,3
1040857,50:36.0,125,3,3
856226,53:46.0,128,3,3
669949,56:32.0,58,3,3
125728,39:40.0,57,3,3
1283301,43:52.0,52,3,3
294255,26:27.0,56,3,3
1227712,29:09.0,56,3,3
716315,33:14.0,60,3,3
1007724,11:11.0,47,3,3
867355,55:12.0,92,3,3
408063,14:44.0,64,3,3
208662,13:43.0,11,3,3
1120144,14:49.0,51,3,3
1155647,22:50.0,86,3,3
1209965,51:53.0,108,3,3
334690,04:49.0,70,3,3
48728,43:19.0,70,3,3
883093,03:57.0,44,3,3
651655,40:31.0,50,3,3
196024,55:55.0,31,3,3
